frame,sample_id,timestamp_s,gt_state,ego_speed_kph,tcp_speed_0_0p6_kph,tcp_speed_0p6_1p0_kph,tcp_speed_1p0_1p6_kph,tcp_speed_1p6_2p0_kph,filtered_mpc_entry_speed_kph,ade_m,fde_2s_m,gt_accel,pred_accel,gt_steer,pred_steer
0,0,2.080551679,DRIVE,38.76375932693482,36.682236,30.585909,26.24061,23.878109,36.682237243652345,0.15996965765953064,0.34130850434303284,-0.13916509,-0.11529547,0.09076612,0.021182895
1,1,2.580551679,DRIVE,34.70248374938965,31.703455,27.091877,23.478397,23.575249,34.93966398239136,0.08484774082899094,0.14930689334869385,-0.1566532,-0.14197904,0.25334162,0.24599016
2,2,3.080551679,DRIVE,29.245310211181643,26.874474,24.157743,21.479288,21.61146,32.11684760570526,0.13561560213565826,0.21090342104434967,-0.14746886,-0.13661718,0.38532552,0.45960903
3,3,3.580551679,DRIVE,24.632458305358888,24.022718,21.540623,20.833511,21.997366,29.283902527570724,0.1586245447397232,0.21083961427211761,0.0,-0.10855901,0.4895555,0.6223453
4,4,4.080551679,DRIVE,23.311238193511965,22.281586,21.003222,21.402277,22.423515,26.833091969382764,0.1329611986875534,0.25107109546661377,0.0,0.022062898,0.48828012,0.6516396
5,5,4.580551679,DRIVE,21.62457504272461,20.923792,21.106586,22.426199,24.135324,24.7648374072808,0.15827243030071259,0.24956114590168,0.0,-0.0041894317,0.45395574,0.44746864
6,6,5.080551679,DRIVE,20.79327349662781,20.688313,22.0202,24.62398,26.881178,23.33805396744248,0.11618055403232574,0.17620830237865448,0.064758144,0.026266694,0.28170955,0.34914768
7,7,5.580551679,DRIVE,21.557612943649293,21.644545,23.712448,25.61675,26.124975,22.74532562258456,0.4606624245643616,0.7198403477668762,0.2329193,0.14604759,0.14257471,0.20880735
8,8,6.080551679,DRIVE,23.263671684265137,24.28251,26.793114,27.857847,27.708227,23.283340553300572,0.19669848680496216,0.33098456263542175,0.4528987,0.3969152,0.053850003,0.030911565
9,9,6.580551679,DRIVE,25.351383876800536,26.207968,28.340763,28.975481,29.199665,24.306960208522327,0.08149226009845734,0.16398225724697113,0.4104287,0.2727753,0.0107680075,0.0035299063
10,10,7.080551679,DRIVE,27.205223751068115,27.85099,29.297758,29.3537,29.480354,25.547370872447473,0.1282365322113037,0.31490594148635864,0.35082257,0.2882489,0.005357283,-0.0046982765
