frame,sample_id,timestamp_s,gt_state,ego_speed_kph,tcp_speed_0_0p6_kph,tcp_speed_0p6_1p0_kph,tcp_speed_1p0_1p6_kph,tcp_speed_1p6_2p0_kph,filtered_mpc_entry_speed_kph,ade_m,fde_2s_m,gt_accel,pred_accel,gt_steer,pred_steer
0,0,2.089472037,DRIVE,0.0954098928719759,0.7392657,5.3449283,13.99562,22.341799,0.7392656743526459,1.057875156402588,1.8468934297561646,0.0,0.26192355,-0.0,0.0043861866
1,1,2.589472037,DRIVE,4.876656067371369,10.257697,18.722527,24.376059,29.888788,4.070716875493527,0.06563219428062439,0.10272959619760513,1.0,0.9399735,-0.0,-0.01698935
2,2,3.089472037,DRIVE,13.497450828552246,17.298471,24.468952,29.12079,33.31133,8.700430976852775,0.4854350686073303,0.8443863987922668,1.0,0.9431162,-0.0,0.026450872
3,3,3.589472037,DRIVE,21.628702640533447,23.97656,28.657974,32.446552,35.21244,14.047076409139484,0.7829567193984985,1.6514873504638672,1.0,0.8717152,-0.0,0.122391105
4,4,4.089472037,DRIVE,27.02279062271118,29.554684,32.32419,34.984802,36.386105,19.474739489854237,1.2401496171951294,2.7328739166259766,1.0,0.87524974,-0.0,0.121204495
5,5,4.589472037,DRIVE,32.831827068328856,34.6415,36.670906,38.607895,39.70501,24.783105433419905,1.6586520671844482,3.345341920852661,1.0,0.8983635,1.0,0.08187914
6,6,5.089472037,DRIVE,38.049097824096684,39.448353,41.158306,42.2733,42.83047,29.915942550582805,1.833756923675537,3.8249733448028564,1.0,0.80471945,-0.0,0.06834531
7,7,5.589472037,DRIVE,43.163168334960936,43.693935,44.113117,44.168167,43.885704,34.73823991236491,2.286587715148926,4.253931045532227,1.0,0.22442102,1.0,0.103230834
8,8,6.089472037,DRIVE,47.9054615020752,47.77601,47.323196,46.848694,46.096817,39.30145882160775,1.6344302892684937,1.5584386587142944,1.0,0.091147065,1.0,0.124675274
9,9,6.589472037,DRIVE,53.59271450042725,52.455177,48.02353,43.977825,40.792347,43.90526055856896,1.0406450033187866,2.0309066772460938,1.0,0.069613814,-0.0,0.072175264
10,10,7.089472037,DRIVE,57.66339111328125,56.2502,50.780773,46.69967,42.383305,48.22598905758887,4.31181001663208,8.309220314025879,0.0,0.08902633,-0.0,0.17036688
11,11,7.589472037,DRIVE,46.466065406799316,41.437748,33.488842,20.787891,10.671639,45.85010480530997,1.645704984664917,1.773665189743042,-1.0,-0.1383233,1.0,0.07734394
12,12,8.089472037,DRIVE,30.35081377029419,28.08027,19.413939,5.05434,2.0086818,39.63066329251886,0.6317235231399536,0.8395869135856628,-1.0,-0.17669839,1.0,0.3655603
13,13,8.589472037,STOP,23.19131383895874,15.506186,3.7124171,0.3203306,0.58645415,31.18709620971734,1.6496186256408691,1.8701462745666504,0.0,-0.48225123,-0.0,0.072561264
14,14,9.089472037,STOP,20.287955617904665,11.454009,2.1926866,0.11737274,0.7449096,24.28051577270543,0.31702399253845215,0.3295053243637085,-1.0,-0.46445692,-0.0,0.022643566
15,15,9.589472037,STOP,5.695334386825562,0.7521972,0.22883496,0.13268818,0.15381473,16.045604288968796,0.12406609207391739,0.09459979087114334,-1.0,-0.9618815,-0.0,-0.00035727024
16,16,10.089472037,STOP,0.04067915976047516,0.060147073,0.09641356,0.009009924,0.007126574,10.450694264203985,0.03437446802854538,0.027664490044116974,-1.0,-0.9884869,-0.0,0.0007798672
17,17,10.589472037,STOP,0.004489359387662262,0.05514036,0.08250282,0.008825702,0.01294468,6.812250398931346,0.018965335562825203,0.023161176592111588,-1.0,-0.99373573,-0.0,0.0013315678
18,18,11.089472037,STOP,0.0011584984342334792,0.053103507,0.08977261,0.014902861,0.0043362086,4.446548986863928,0.02029840648174286,0.024152906611561775,-1.0,-0.9924572,-0.0,0.0009354353
19,19,11.589472037,STOP,4.090202091902029e-05,0.03673136,0.06582968,0.012703414,0.0047829184,2.9031128176296197,0.009557913057506084,0.011568675749003887,-1.0,-0.99211514,-0.0,0.0009469986
20,20,12.089472037,STOP,7.69296393627883e-05,0.037830338,0.06993613,0.016484069,0.008217974,1.900263949978738,0.007736866362392902,0.011104785837233067,-1.0,-0.99340075,-0.0,0.0009008646
